Model Architecture,Feature Space,Accuracy (%),Macro-F1,Weighted-F1,Macro-Precision,Macro-Recall,Train Time (s),Inference Latency (ms/sample)
RF-Raw (Baseline),Raw Telemetry (34 features),94.77,0.9177,0.9499,0.9185,0.9354,7.58,0.0222
XGB-Raw (Baseline),Raw Telemetry (34 features),95.0,0.92,0.9522,0.9215,0.9378,22.99,0.0445
RF-Deviation (Pure Cont Residuals),Continuous Residuals (9 features),58.5,0.5623,0.5737,0.757,0.5126,37.85,0.0279
XGB-Deviation (Pure Cont Residuals),Continuous Residuals (9 features),57.68,0.548,0.5648,0.7271,0.5018,26.15,0.0753
RF-Twin-Augmented-v2 (Targeted),Raw + Continuous Residuals (43 features),94.24,0.9099,0.9437,0.9132,0.9144,16.97,0.0274
XGB-Twin-Augmented-v2 (Targeted),Raw + Continuous Residuals (43 features),94.91,0.9153,0.9502,0.9193,0.918,39.54,0.0333
