Trained Model,Source Dataset,Target Dataset,Samples Evaluated,Transfer Accuracy (%),Transfer F1-Score,Transfer Precision (%),Transfer Recall (%),False Positive Count,False Negative Count
XGB-Raw Baseline,Edge-IIoTset,TON_IoT (Unseen),50000,65.21,0.7894,100.0,65.21,0,17395
XGB-Twin-Augmented-v2,Edge-IIoTset,TON_IoT (Unseen),50000,99.29,0.9964,100.0,99.29,0,355
